,Chuva_Media_Anual_mm,Tmin_Media_Anual,Tmax_Media_Anual,UR_Media_Anual,U2_Media_Anual,Rs_Media_Anual,Rn_Media_Anual,EToPM_FAO56_Media_Anual,Latitude,Longitude,Altitude,yield_med
0,1591.7272727272727,15.739244329665395,26.18833493252761,78.26848942149996,0.09240933248950317,17.446550365310415,9.989346483534433,1094.598009119432,-25.03,-53.38,712,5.8217
1,1547.3781818181817,18.463118946028896,28.042974358450888,73.87819256340634,0.8679819665326065,17.605665945572955,10.094006995314,1231.1940378454865,-25.47,-54.48,275,5.901400000000001
2,1518.942727272727,18.309576642236422,29.37839450421575,74.21707044620922,0.6127238089405168,17.637939987832514,10.261613057700353,1228.5628656541382,-24.19,-54.23,275,5.2156
3,1570.49,19.518418315197792,28.11976544243241,72.3749988635513,1.5730052671334953,17.637939987832514,10.141491057133843,1337.58360095275,-24.57,-54.14,327,5.548800000000001
4,1614.5218181818184,16.76326202968377,27.58006897631151,75.78258440683503,0.1861750471251931,17.446550365310415,9.980317281396827,1115.050157227458,-25.35,-53.91,324,5.5775
5,1547.3781818181817,18.463118946028896,28.042974358450888,73.87819256340634,0.8679819665326065,17.605665945572955,10.110152520263625,1235.5613333593112,-25.26,-54.09,401,5.4377
6,1580.769090909091,19.94664702039483,27.679440254782268,71.36158396450469,2.3214030377886203,17.637939987832514,10.085428653186499,1423.7989867799274,-24.89,-54.31,238,5.0189
7,1547.3781818181817,18.463118946028896,28.042974358450888,73.87819256340634,0.8679819665326065,17.605665945572955,10.097090632150529,1232.0261136759548,-25.39,-54.26,299,5.912400000000001
8,1578.379090909091,15.944648878182226,27.39765122593553,76.65919361138899,0.7463303595124838,17.733096944409287,10.183737186895016,1187.2353634906349,-24.91,-53.89,517,5.464499999999999
9,1550.6945454545455,16.898491286092455,28.125144199688325,75.0912098210944,0.991412952793146,17.733096944409287,10.20039531592193,1239.2912505195463,-24.7,-53.78,524,5.9812
